,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
1274,6.881,5.357,302437.0,39.0,370.0,1000.0,63.792,22.7,30.2,16.0,0.0,66.0,0.0,10.0,15.7,24.1,2019.0,1.0,22.0
1275,6.111,6.44,276811.0,37.0,370.0,870.0,63.728,20.6,26.0,16.0,0.0,68.0,0.0,10.0,16.7,29.4,2019.0,1.0,23.0
1276,7.105,5.954,300545.0,41.0,422.98,845.96,63.949,26.2,0.0,17.0,0.0,48.0,0.0,10.0,23.0,48.2,2019.0,1.0,25.0
1277,7.592,5.973,244382.0,49.0,260.0,680.0,63.393,23.2,35.0,15.0,0.0,47.0,0.0,10.0,16.9,38.9,2019.0,1.0,28.0
1278,6.854,8.016,252484.0,45.0,310.0,870.0,65.004,23.8,38.0,15.0,0.0,47.0,0.0,10.0,17.8,40.7,2019.0,1.0,29.0
1279,4.037,10.761,270466.0,36.0,320.0,880.0,64.958,25.4,39.0,16.0,0.0,47.0,0.0,10.0,25.9,53.5,2019.0,1.0,30.0
1280,6.517,7.265,266159.0,41.0,320.0,870.0,64.477,16.3,21.0,11.0,0.0,48.0,0.0,10.0,26.9,40.7,2019.0,1.0,31.0
1281,5.701,5.969,278044.0,44.0,330.0,800.0,62.993,24.9,41.0,17.0,0.0,50.0,0.0,10.0,21.1,33.5,2019.0,2.0,3.0
1282,5.941,5.4,267477.0,39.0,280.0,800.0,65.0,18.7,22.0,17.0,0.0,70.0,0.0,10.0,24.6,31.7,2019.0,2.0,4.0
1283,5.328,5.127,289915.0,36.0,360.0,940.0,63.728,20.1,26.0,16.0,0.0,76.0,0.0,89.0,12.6,20.6,2019.0,2.0,5.0
1284,5.274,5.291,280760.0,31.0,360.0,920.0,64.958,25.4,35.0,20.0,0.0,60.0,0.0,9.7,16.9,57.6,2019.0,2.0,6.0
1285,5.241,4.958,298288.0,36.0,350.0,840.0,63.728,22.4,30.0,16.8,0.0,72.0,0.0,9.7,15.6,24.1,2019.0,2.0,7.0
1286,4.972,5.928,260472.0,44.0,300.0,780.0,61.533,17.7,24.0,12.0,0.0,61.0,0.0,10.0,12.6,25.9,2019.0,2.0,10.0
1287,4.993,4.728,270153.0,41.0,350.0,930.0,63.995,22.3,28.0,15.0,0.0,47.0,0.0,10.0,21.7,37.0,2019.0,2.0,11.0
1288,5.437,5.603,298785.0,32.0,370.0,880.0,63.949,12.9,19.0,9.9,0.0,54.0,0.0,97.0,25.6,42.4,2019.0,2.0,12.0
1289,6.331,5.689,217367.0,36.0,310.0,1300.0,67.595,14.1,21.0,9.0,0.0,53.0,0.0,10.0,17.8,29.4,2019.0,2.0,13.0
1290,4.996,5.652,312401.0,32.0,360.0,900.0,63.792,18.6,24.0,15.7,0.0,58.0,0.0,10.0,13.9,25.9,2019.0,2.0,14.0
1291,4.892,5.615,290821.0,37.0,350.0,980.0,63.792,24.7,30.0,19.6,0.0,37.0,0.0,0.0,16.4,27.8,2019.0,2.0,17.0
1292,4.077,5.59,274770.0,40.0,360.0,940.0,63.949,17.1,26.0,11.0,0.0,62.0,0.0,10.0,18.1,37.0,2019.0,2.0,18.0
1293,4.525,5.25,270973.0,37.0,370.0,930.0,63.838,15.0,20.3,9.0,0.0,61.0,0.0,10.0,16.9,27.8,2019.0,2.0,19.0
1294,4.528,4.638,280038.0,38.0,380.0,940.0,70.0,16.4,23.0,11.0,0.0,63.0,0.0,10.0,16.1,27.8,2019.0,2.0,20.0
1295,4.347826086956525e-06,5.153,290940.0,42.0,530.0,1100.0,68.82,17.3,20.1,15.0,0.0,59.0,0.0,10.0,19.6,29.4,2019.0,2.0,21.0
1296,4.347826086956525e-06,5.19,228087.0,41.0,370.0,830.0,65.531,25.7,33.0,19.0,0.0,26.0,0.0,0.0,22.0,51.9,2019.0,2.0,24.0
1297,4.347826086956525e-06,4.435,216494.0,34.0,330.0,970.0,65.531,26.2,35.0,17.0,0.0,24.0,0.0,10.0,19.4,50.0,2019.0,2.0,25.0
1298,4.347826086956525e-06,4.582,279558.0,37.0,290.0,900.0,64.256,17.7,24.0,12.0,0.0,70.0,0.0,10.0,14.3,27.8,2019.0,2.0,26.0
1299,4.347826086956525e-06,4.419,291837.0,35.0,520.0,1100.0,68.82,23.8,31.0,18.0,0.0,43.0,0.0,0.0,16.7,53.5,2019.0,2.0,27.0
1300,4.347826086956525e-06,5.291,286661.0,49.0,440.0,930.0,64.958,30.9,38.0,26.0,0.0,24.0,0.0,0.0,30.0,51.9,2019.0,2.0,28.0
