,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
1160,3.513,4.107,362730.0,26.0,320.0,1000.0,63.0,10.1,16.0,6.0,0.0,74.0,0.0,10.0,27.5,53.5,2018.0,7.0,24.0
1161,3.391,4.077,309158.0,40.0,330.0,820.0,60.728,10.2,14.0,5.0,0.0,78.0,0.0,10.0,24.6,37.0,2018.0,7.0,26.0
1162,3.954,4.09,309731.0,35.0,290.0,770.0,60.563,9.0,14.0,6.5,0.0,69.0,0.0,10.0,25.7,50.0,2018.0,7.0,29.0
1163,3.019,3.896,289943.0,35.0,320.0,820.0,60.563,9.4,12.0,6.0,0.0,65.0,0.0,10.0,30.4,51.9,2018.0,7.0,30.0
1164,3.65,3.777,260510.0,35.0,330.0,1000.0,63.885,10.7,15.0,7.0,0.0,66.0,0.0,9.7,22.6,38.9,2018.0,7.0,31.0
1165,3.61,3.873,285437.0,36.0,340.0,890.0,62.942,9.2,15.0,4.0,0.0,70.0,0.0,10.0,15.4,35.2,2018.0,8.0,1.0
1166,3.385,3.691,297410.0,40.0,360.0,930.0,63.312,11.4,15.0,8.0,0.0,56.0,0.0,10.0,35.9,66.5,2018.0,8.0,2.0
1167,3.917,4.087,251865.0,42.0,330.0,820.0,62.512,12.3,16.0,7.6,0.0,50.0,0.0,10.0,34.8,51.9,2018.0,8.0,5.0
1168,4.433,3.827,331653.0,50.0,360.0,1100.0,67.019,8.5,13.0,5.0,0.0,65.0,0.0,10.0,23.5,35.2,2018.0,8.0,6.0
1169,3.654,3.921,325329.0,44.0,360.0,900.0,63.312,10.9,13.0,9.0,0.0,61.0,0.0,10.0,32.4,48.2,2018.0,8.0,7.0
1170,3.871,4.452,202616.0,40.0,422.98,845.96,62.83,8.7,16.0,3.0,0.0,74.0,0.0,10.0,20.7,31.7,2018.0,8.0,8.0
1171,3.617,4.151,263932.0,47.0,340.0,890.0,61.0,10.4,13.0,8.5,0.0,62.0,0.0,10.0,38.2,63.0,2018.0,8.0,9.0
1172,3.046,4.136,343442.0,37.0,310.0,790.0,61.396,11.3,14.0,9.9,0.0,63.0,0.0,10.0,22.2,35.2,2018.0,8.0,12.0
1173,4.157,4.079,351710.0,37.0,300.0,1000.0,63.248,10.8,15.0,6.9,0.0,71.0,0.0,10.0,22.2,35.2,2018.0,8.0,13.0
1174,4.318,3.989,344121.0,45.0,330.0,950.0,63.312,13.5,16.0,11.0,0.0,51.0,0.0,10.0,40.4,53.5,2018.0,8.0,14.0
1175,3.442,3.585,325419.0,40.0,360.0,1100.0,67.019,11.1,18.0,5.0,0.0,56.0,0.0,10.0,24.3,46.5,2018.0,8.0,15.0
1176,3.521,4.765,299944.0,37.0,430.0,990.0,62.322,9.3,14.0,6.0,0.0,61.0,0.0,10.0,19.1,29.4,2018.0,8.0,16.0
1177,3.602,3.946,272606.0,29.0,290.0,670.0,60.662,6.8,12.0,4.0,0.0,76.0,0.0,10.0,24.1,46.5,2018.0,8.0,19.0
1178,3.582,3.837,251888.0,29.0,280.0,760.0,60.406,8.9,11.0,6.0,0.0,73.0,0.0,9.8,20.6,31.7,2018.0,8.0,20.0
1179,4.401,3.962,252906.0,41.0,350.0,810.0,55.0,8.8,12.0,6.0,0.0,79.0,0.0,9.8,15.0,24.1,2018.0,8.0,21.0
1180,3.025,3.972,349091.0,41.0,380.0,970.0,62.257,9.1,13.0,4.0,0.0,69.0,0.0,10.0,14.1,24.1,2018.0,8.0,22.0
1181,3.041,3.952,343612.0,36.0,390.0,1100.0,66.862,9.7,16.0,2.0,0.0,64.0,0.0,10.0,13.1,20.6,2018.0,8.0,23.0
1182,4.204,3.889,288798.0,47.0,290.0,850.0,62.414,8.7,14.0,3.0,0.0,77.0,0.0,9.8,13.7,33.5,2018.0,8.0,26.0
1183,2.959,3.867,256927.0,41.0,340.0,940.0,60.897,6.2,12.0,0.0,0.0,71.0,0.0,10.0,14.6,31.7,2018.0,8.0,27.0
1184,3.719,3.864,308827.0,50.0,410.0,1100.0,64.864,4.7,11.0,-2.0,0.0,68.0,0.0,10.0,10.2,18.3,2018.0,8.0,28.0
1185,3.538,3.893,321713.0,48.0,350.0,1000.0,62.479,8.5,14.0,3.0,0.0,50.0,0.0,10.0,17.6,42.4,2018.0,8.0,29.0
1186,3.03,3.968,322896.0,38.0,330.0,990.0,63.312,11.1,14.0,7.0,0.0,41.0,0.0,10.0,29.4,51.9,2018.0,8.0,30.0
1187,3.023,3.837,283637.0,42.0,360.0,950.0,62.257,7.3,12.0,3.0,0.0,77.0,0.0,10.0,12.8,27.8,2018.0,9.0,2.0
1188,3.046,3.968,279421.0,43.0,360.0,1200.0,66.797,7.3,13.0,2.0,0.0,73.0,0.0,10.0,13.0,22.2,2018.0,9.0,3.0
1189,4.503,3.809,308352.0,40.0,370.0,1100.0,68.0,11.7,18.0,5.0,0.0,57.0,0.0,10.0,16.5,38.9,2018.0,9.0,4.0
1190,3.001,3.177,306308.0,39.0,350.0,990.0,63.312,14.4,18.3,9.0,0.0,54.0,0.0,10.0,28.3,46.5,2018.0,9.0,5.0
1191,3.018,4.566,312529.0,36.0,390.0,980.0,62.414,12.4,19.0,5.8,0.0,71.0,0.0,10.0,23.2,50.0,2018.0,9.0,6.0
1192,3.032,3.837,282721.0,45.0,370.0,860.0,63.84,13.9,18.0,10.0,0.0,66.0,0.0,10.0,18.5,40.7,2018.0,9.0,9.0
1193,3.034,3.433,266473.0,37.0,320.0,1100.0,67.005,13.7,18.0,10.0,0.0,71.0,0.0,10.0,16.5,55.4,2018.0,9.0,10.0
1194,4.068,3.334,286478.0,39.0,350.0,990.0,63.84,17.1,23.1,7.9,0.0,43.0,0.0,10.0,30.2,55.4,2018.0,9.0,11.0
1195,3.549,3.944,180103.0,36.0,300.0,890.0,62.895,11.5,18.0,6.0,0.0,50.0,0.0,0.0,17.8,27.8,2018.0,9.0,12.0
1196,3.037,3.906,329608.0,28.0,320.0,880.0,63.312,13.3,19.0,8.0,0.0,50.0,0.0,0.0,23.3,40.7,2018.0,9.0,13.0
1197,3.914,3.849,194980.0,36.0,360.0,740.0,61.033,8.7,14.0,3.0,0.0,60.0,0.0,13.7,19.1,29.4,2018.0,9.0,16.0
1198,3.011,3.996,286556.0,32.0,340.0,970.0,63.312,13.6,16.0,12.0,0.0,40.0,0.0,0.0,33.3,42.4,2018.0,9.0,17.0
1199,3.873,3.894,314730.0,37.0,380.0,1100.0,66.797,8.4,12.0,5.0,0.0,79.0,0.0,10.0,12.4,25.9,2018.0,9.0,18.0
1200,3.38,3.943,299107.0,35.0,422.98,845.96,62.414,8.4,15.0,3.0,0.0,68.0,3.3,11.6,15.7,42.4,2018.0,9.0,19.0
1201,3.514,3.916,289956.0,36.0,350.0,990.0,62.0,10.7,16.7,2.3,1022.0,61.0,0.0,15.8,12.8,18.3,2018.0,9.0,20.0
1202,3.549,3.79,309039.0,39.0,380.0,980.0,62.479,8.6,12.0,4.0,0.0,65.0,0.0,10.0,20.4,33.5,2018.0,9.0,23.0
1203,3.0,3.822,315225.0,48.0,340.0,920.0,63.091,9.7,11.0,9.0,0.0,77.0,0.0,10.0,18.9,22.2,2018.0,9.0,24.0
1204,3.568,3.859,296995.0,35.0,360.0,980.0,62.257,7.8,14.0,3.0,0.0,71.0,0.0,10.0,15.2,27.8,2018.0,9.0,25.0
1205,3.684,3.673,306442.0,41.0,360.0,910.0,63.312,12.9,19.0,7.0,0.0,45.0,0.0,0.0,18.3,55.4,2018.0,9.0,26.0
1206,4.49,3.972,270158.0,39.0,422.98,845.96,62.942,8.3,15.0,3.0,0.0,71.0,0.51,10.0,20.4,35.2,2018.0,9.0,28.0
1207,3.728,4.112,270662.0,44.0,300.0,790.0,60.671,9.6,16.4,3.0,0.0,66.0,0.0,10.0,12.4,25.9,2018.0,9.0,30.0
1208,1.516,4.315,262951.0,35.0,300.0,830.0,62.849,15.5,23.0,3.1,0.0,41.0,0.0,0.0,12.6,25.9,2018.0,10.0,1.0
1209,4.69,4.451,267439.0,44.0,410.0,1000.0,63.0,20.3,25.9,10.3,0.0,35.0,0.0,10.0,22.2,38.9,2018.0,10.0,2.0
1210,6.069,8.48,202227.0,41.0,310.0,1100.0,66.958,12.7,17.0,10.0,0.0,63.0,0.0,10.0,20.9,29.4,2018.0,10.0,3.0
1211,5.596,8.186,285451.0,40.0,260.0,900.0,62.257,10.9,15.2,5.8,0.0,70.0,0.0,10.0,17.2,29.4,2018.0,10.0,4.0
1212,4.194,5.859,294926.0,36.0,360.0,900.0,63.155,17.6,25.0,11.0,0.0,49.0,0.0,0.0,10.6,25.9,2018.0,10.0,7.0
1213,4.422,4.741,301067.0,35.0,340.0,845.96,63.155,19.7,27.0,14.0,0.0,47.0,0.0,10.0,8.0,24.1,2018.0,10.0,8.0
1214,4.321,4.909,283531.0,44.0,370.0,960.0,63.248,12.2,16.0,9.0,0.0,81.0,0.0,10.0,23.3,38.9,2018.0,10.0,9.0
1215,3.161,5.003,158404.0,46.0,340.0,920.0,63.052,9.9,16.1,3.6,0.0,63.0,0.0,10.0,25.0,42.4,2018.0,10.0,10.0
1216,6.998,4.442,245403.0,38.0,330.0,870.0,62.895,12.5,19.5,6.0,0.0,63.0,0.0,0.0,13.9,27.8,2018.0,10.0,11.0
1217,7.119,3.81,283352.0,43.0,320.0,780.0,70.0,21.4,27.0,10.2,0.0,43.0,0.0,10.0,29.6,46.5,2018.0,10.0,14.0
1218,6.041,7.749,261013.0,49.0,340.0,1200.0,67.07,23.4,27.0,18.0,0.0,40.0,0.0,10.0,34.6,48.2,2018.0,10.0,15.0
1219,5.093,9.105,323494.0,47.0,350.0,960.0,63.248,17.3,22.2,14.7,0.0,79.0,0.0,10.0,25.0,42.4,2018.0,10.0,16.0
1220,5.044,5.83,222837.0,45.0,340.0,850.0,63.885,17.0,21.0,13.8,0.0,67.0,2.29,10.0,19.8,33.5,2018.0,10.0,17.0
1221,3.88,5.686,303182.0,41.0,340.0,880.0,63.248,15.9,21.3,10.0,0.0,68.0,0.25,10.0,19.4,42.4,2018.0,10.0,18.0
1222,4.044,5.362,333262.0,45.0,340.0,820.0,60.856,13.7,21.0,6.4,0.0,60.0,0.0,10.0,16.3,46.5,2018.0,10.0,21.0
1223,3.031,4.915,322831.0,31.0,370.0,940.0,63.312,18.2,27.0,7.7,0.0,47.0,0.0,10.0,25.0,46.5,2018.0,10.0,22.0
1224,3.881,4.774,293890.0,43.0,350.0,1100.0,67.019,11.4,21.1,5.0,0.0,67.0,0.0,10.8,18.7,33.5,2018.0,10.0,23.0
1225,4.19,4.624,219686.0,42.0,310.0,1200.0,66.958,10.7,16.6,4.7,0.0,63.0,0.0,10.0,18.1,29.4,2018.0,10.0,24.0
1226,4.443,4.311,341987.0,42.0,350.0,1000.0,62.479,12.7,22.3,4.8,0.0,59.0,0.0,10.0,14.3,33.5,2018.0,10.0,25.0
1227,5.387,4.783,309304.0,50.0,330.0,810.0,61.6,12.1,17.2,8.3,0.0,54.0,0.0,10.0,18.9,27.8,2018.0,10.0,28.0
1228,4.055,4.848,304860.0,37.0,330.0,930.0,62.322,12.6,21.0,6.0,0.0,62.0,0.0,0.0,13.5,22.2,2018.0,10.0,29.0
1229,3.614,5.922,300185.0,40.0,350.0,1100.0,66.0,17.7,26.9,5.9,0.0,53.0,0.0,10.0,11.5,25.9,2018.0,10.0,30.0
1230,5.008,5.065,278652.0,25.0,422.98,845.96,63.619,15.3,21.0,11.0,0.0,77.0,0.0,10.0,12.2,20.6,2018.0,10.0,31.0
1231,4.125,4.136,234241.0,27.0,422.98,845.96,64.849,27.4,34.0,20.0,0.0,28.0,0.0,0.0,25.4,50.0,2018.0,11.0,1.0
1232,3.053,4.955,270214.0,39.0,422.98,845.96,63.683,17.7,24.0,14.0,0.0,55.0,0.0,0.0,12.4,27.8,2018.0,11.0,4.0
1233,4.118,4.384,240673.0,21.0,422.98,845.96,62.785,14.7,21.0,5.0,0.0,75.0,0.0,51.5,13.0,27.8,2018.0,11.0,6.0
1234,3.973,4.272,330795.0,35.0,422.98,845.96,62.479,10.3,16.0,6.0,0.0,62.0,0.0,0.0,21.5,45.2,2018.0,11.0,7.0
1235,3.798,4.744,300619.0,33.0,320.0,760.0,61.24,12.0,17.1,6.9,0.0,59.0,0.0,0.0,16.7,27.8,2018.0,11.0,8.0
1236,3.85,4.489,275148.0,35.0,340.0,830.0,63.155,24.4,29.0,20.0,0.0,25.0,0.0,0.0,22.0,31.7,2018.0,11.0,12.0
1237,4.109,4.388,316940.0,41.0,310.0,920.0,62.322,12.3,17.1,6.0,0.0,64.0,0.0,0.0,19.5,31.7,2018.0,11.0,15.0
1238,3.077,4.219,279823.0,39.0,350.0,910.0,60.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,18.0
1239,6.624,4.734,282413.0,31.0,320.0,1100.0,64.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,19.0
1240,7.579,4.738,305587.0,34.0,310.0,1000.0,60.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,11.0,20.0
1241,6.239,10.888,315000.0,28.0,280.0,680.0,59.603,12.5,14.0,11.0,0.0,67.0,0.0,0.0,28.9,42.4,2018.0,11.0,22.0
1242,4.389,6.805,303537.0,30.0,330.0,720.0,61.24,14.4,19.0,11.0,0.0,78.0,0.0,0.0,16.3,31.7,2018.0,11.0,25.0
1243,3.385,5.644,291143.0,35.0,340.0,930.0,63.0,15.5,19.0,13.0,0.0,71.0,0.0,0.0,15.0,25.9,2018.0,11.0,26.0
1244,3.431,5.341,296543.0,31.0,300.0,900.0,63.248,16.6,20.1,14.0,0.0,75.0,0.0,0.0,22.0,35.2,2018.0,11.0,27.0
1245,4.827,4.518,335973.0,43.0,340.0,960.0,63.312,15.6,20.3,13.0,0.0,50.0,0.0,51.3,25.0,35.9,2018.0,11.0,28.0
1246,3.963,5.076,349363.0,44.0,340.0,940.0,63.091,15.9,20.0,14.0,0.0,74.0,0.0,0.0,17.6,25.9,2018.0,11.0,29.0
1247,5.489,4.907,291902.0,25.0,290.0,1200.0,67.019,14.7,19.0,11.0,0.0,52.0,0.0,10.0,24.4,38.9,2018.0,12.0,2.0
1248,4.559,4.637,313630.0,46.0,320.0,820.0,61.69,16.4,23.0,12.0,0.0,64.0,0.0,10.0,25.6,40.7,2018.0,12.0,3.0
1249,4.57,5.068,324791.0,45.0,330.0,920.0,63.091,16.1,20.0,12.0,0.0,68.0,0.0,10.0,15.6,24.1,2018.0,12.0,4.0
1250,5.056,5.941,292929.0,38.0,330.0,870.0,63.312,19.1,28.0,12.6,0.0,63.0,0.0,0.0,15.7,42.4,2018.0,12.0,5.0
1251,5.095,9.77,277937.0,27.0,360.0,870.0,64.321,29.4,35.0,25.0,0.0,29.0,0.0,0.0,30.4,51.9,2018.0,12.0,6.0
1252,3.846,6.157,292278.0,56.0,330.0,920.0,63.136,16.8,21.0,14.0,0.0,79.0,0.0,10.0,11.9,27.8,2018.0,12.0,9.0
1253,5.372,5.004,292526.0,47.0,390.0,930.0,69.0,16.3,21.0,11.5,0.0,68.0,0.0,10.0,15.9,29.4,2018.0,12.0,10.0
1254,6.027,4.592,371224.0,40.0,350.0,1100.0,67.019,19.2,28.0,13.0,0.0,66.0,0.0,10.0,16.9,42.4,2018.0,12.0,11.0
1255,6.028,6.037,326261.0,34.0,320.0,990.0,64.321,24.6,33.0,15.6,0.0,51.0,0.0,9.2,20.9,40.7,2018.0,12.0,12.0
1256,6.037,6.426,306734.0,23.0,300.0,740.0,59.603,16.6,20.0,14.0,0.0,87.0,0.0,8.9,17.4,38.9,2018.0,12.0,13.0
1257,3.539,6.058,327745.0,32.0,230.0,640.0,60.839,17.8,23.0,14.0,0.0,77.0,0.0,10.0,15.0,38.9,2018.0,12.0,16.0
1258,3.003,5.995,305813.0,30.0,290.0,750.0,61.24,17.6,22.0,15.0,0.0,76.0,0.0,10.0,16.7,25.9,2018.0,12.0,17.0
1259,3.021,5.159,259978.0,35.0,330.0,970.0,63.136,17.9,22.0,16.0,0.0,77.0,0.0,10.0,15.0,24.1,2018.0,12.0,18.0
1260,3.024,4.703,332033.0,32.0,330.0,890.0,63.091,20.1,26.0,14.8,0.0,73.0,0.0,9.5,8.5,18.3,2018.0,12.0,19.0
1261,3.028,4.441,325807.0,32.0,360.0,850.0,63.248,15.9,20.3,12.7,0.0,81.0,0.0,9.2,21.7,33.5,2018.0,12.0,20.0
